Bin,Label,Genus,Species,Class,Count
Kassembie_2.32,Kassembie_2.32 (Stenotrophomonas),Stenotrophomonas,Stenotrophomonas sepilia,CE,18
Kassembie_2.32,Kassembie_2.32 (Stenotrophomonas),Stenotrophomonas,Stenotrophomonas sepilia,GH,43
Kassembie_2.32,Kassembie_2.32 (Stenotrophomonas),Stenotrophomonas,Stenotrophomonas sepilia,GT,35
Kassembie_2.33,Kassembie_2.33 (Fluviibacter),Fluviibacter,NA,AA,3
Kassembie_2.33,Kassembie_2.33 (Fluviibacter),Fluviibacter,NA,GH,5
Kassembie_2.33,Kassembie_2.33 (Fluviibacter),Fluviibacter,NA,GT,23
Kassembie_2.35,Kassembie_2.35 (Polynucleobacter),Polynucleobacter,NA,AA,3
Kassembie_2.35,Kassembie_2.35 (Polynucleobacter),Polynucleobacter,NA,CE,2
Kassembie_2.35,Kassembie_2.35 (Polynucleobacter),Polynucleobacter,NA,GH,5
Kassembie_2.35,Kassembie_2.35 (Polynucleobacter),Polynucleobacter,NA,GT,17
Kassembie_2.36,Kassembie_2.36 (Rhodoluna),Rhodoluna,NA,AA,1
Kassembie_2.36,Kassembie_2.36 (Rhodoluna),Rhodoluna,NA,CBM,3
Kassembie_2.36,Kassembie_2.36 (Rhodoluna),Rhodoluna,NA,CE,2
Kassembie_2.36,Kassembie_2.36 (Rhodoluna),Rhodoluna,NA,GH,15
Kassembie_2.36,Kassembie_2.36 (Rhodoluna),Rhodoluna,NA,GT,12
Kassembie_2.39,Kassembie_2.39 (Pseudomonas_E),Pseudomonas_E,Pseudomonas_E bananamidigenes,AA,13
Kassembie_2.39,Kassembie_2.39 (Pseudomonas_E),Pseudomonas_E,Pseudomonas_E bananamidigenes,CBM,3
Kassembie_2.39,Kassembie_2.39 (Pseudomonas_E),Pseudomonas_E,Pseudomonas_E bananamidigenes,CE,12
Kassembie_2.39,Kassembie_2.39 (Pseudomonas_E),Pseudomonas_E,Pseudomonas_E bananamidigenes,GH,32
Kassembie_2.39,Kassembie_2.39 (Pseudomonas_E),Pseudomonas_E,Pseudomonas_E bananamidigenes,GT,47
Kassembie_2.39,Kassembie_2.39 (Pseudomonas_E),Pseudomonas_E,Pseudomonas_E bananamidigenes,PL,2
Kassembie_2.4,Kassembie_2.4 (Polynucleobacter),Polynucleobacter,NA,AA,4
Kassembie_2.4,Kassembie_2.4 (Polynucleobacter),Polynucleobacter,NA,CE,2
Kassembie_2.4,Kassembie_2.4 (Polynucleobacter),Polynucleobacter,NA,GH,6
Kassembie_2.4,Kassembie_2.4 (Polynucleobacter),Polynucleobacter,NA,GT,18
Kassembie_2.43,Kassembie_2.43 (Fluviibacter),Fluviibacter,NA,AA,3
Kassembie_2.43,Kassembie_2.43 (Fluviibacter),Fluviibacter,NA,CE,2
Kassembie_2.43,Kassembie_2.43 (Fluviibacter),Fluviibacter,NA,GH,5
Kassembie_2.43,Kassembie_2.43 (Fluviibacter),Fluviibacter,NA,GT,18
Kassembie_2.48,Kassembie_2.48 (Limnohabitans),Limnohabitans,NA,AA,5
Kassembie_2.48,Kassembie_2.48 (Limnohabitans),Limnohabitans,NA,CE,4
Kassembie_2.48,Kassembie_2.48 (Limnohabitans),Limnohabitans,NA,GH,6
Kassembie_2.48,Kassembie_2.48 (Limnohabitans),Limnohabitans,NA,GT,19
Kassembie_2.49,Kassembie_2.49 (Novosphingobium),Novosphingobium,NA,AA,9
Kassembie_2.49,Kassembie_2.49 (Novosphingobium),Novosphingobium,NA,CBM,1
Kassembie_2.49,Kassembie_2.49 (Novosphingobium),Novosphingobium,NA,CE,5
Kassembie_2.49,Kassembie_2.49 (Novosphingobium),Novosphingobium,NA,GH,26
Kassembie_2.49,Kassembie_2.49 (Novosphingobium),Novosphingobium,NA,GT,45
Kassembie_2.5,Kassembie_2.5 (DATGWF01),DATGWF01,NA,AA,1
Kassembie_2.5,Kassembie_2.5 (DATGWF01),DATGWF01,NA,CE,1
Kassembie_2.5,Kassembie_2.5 (DATGWF01),DATGWF01,NA,GH,6
Kassembie_2.5,Kassembie_2.5 (DATGWF01),DATGWF01,NA,GT,10
Kassembie_2.51,Kassembie_2.51 (RGVT01),RGVT01,NA,CBM,5
Kassembie_2.51,Kassembie_2.51 (RGVT01),RGVT01,NA,CE,13
Kassembie_2.51,Kassembie_2.51 (RGVT01),RGVT01,NA,GH,22
Kassembie_2.51,Kassembie_2.51 (RGVT01),RGVT01,NA,GT,26
Kassembie_2.51,Kassembie_2.51 (RGVT01),RGVT01,NA,PL,2
Kassembie_2.52,Kassembie_2.52 (Unknown),NA,NA,AA,3
Kassembie_2.52,Kassembie_2.52 (Unknown),NA,NA,CBM,2
Kassembie_2.52,Kassembie_2.52 (Unknown),NA,NA,CE,6
Kassembie_2.52,Kassembie_2.52 (Unknown),NA,NA,GH,29
Kassembie_2.52,Kassembie_2.52 (Unknown),NA,NA,GT,32
Kassembie_2.53,Kassembie_2.53 (JANRKJ01),JANRKJ01,NA,AA,3
Kassembie_2.53,Kassembie_2.53 (JANRKJ01),JANRKJ01,NA,CBM,7
Kassembie_2.53,Kassembie_2.53 (JANRKJ01),JANRKJ01,NA,CE,13
Kassembie_2.53,Kassembie_2.53 (JANRKJ01),JANRKJ01,NA,GH,57
Kassembie_2.53,Kassembie_2.53 (JANRKJ01),JANRKJ01,NA,GT,74
Kassembie_2.53,Kassembie_2.53 (JANRKJ01),JANRKJ01,NA,PL,1
Kassembie_2.55,Kassembie_2.55 (Enterobacter),Enterobacter,Enterobacter quasiroggenkampii,AA,6
Kassembie_2.55,Kassembie_2.55 (Enterobacter),Enterobacter,Enterobacter quasiroggenkampii,CBM,6
Kassembie_2.55,Kassembie_2.55 (Enterobacter),Enterobacter,Enterobacter quasiroggenkampii,CE,8
Kassembie_2.55,Kassembie_2.55 (Enterobacter),Enterobacter,Enterobacter quasiroggenkampii,GH,67
Kassembie_2.55,Kassembie_2.55 (Enterobacter),Enterobacter,Enterobacter quasiroggenkampii,GT,32
Kassembie_2.7,Kassembie_2.7 (UBA668),UBA668,NA,AA,4
Kassembie_2.7,Kassembie_2.7 (UBA668),UBA668,NA,CE,8
Kassembie_2.7,Kassembie_2.7 (UBA668),UBA668,NA,GH,21
Kassembie_2.7,Kassembie_2.7 (UBA668),UBA668,NA,GT,32
Kassembie_2.8,Kassembie_2.8 (QYQL01),QYQL01,NA,AA,1
Kassembie_2.8,Kassembie_2.8 (QYQL01),QYQL01,NA,CBM,15
Kassembie_2.8,Kassembie_2.8 (QYQL01),QYQL01,NA,CE,24
Kassembie_2.8,Kassembie_2.8 (QYQL01),QYQL01,NA,GH,131
Kassembie_2.8,Kassembie_2.8 (QYQL01),QYQL01,NA,GT,80
Kassembie_2.8,Kassembie_2.8 (QYQL01),QYQL01,NA,PL,6
Kassembie_2.9,Kassembie_2.9 (Leifsonia),Leifsonia,NA,AA,2
Kassembie_2.9,Kassembie_2.9 (Leifsonia),Leifsonia,NA,CBM,3
Kassembie_2.9,Kassembie_2.9 (Leifsonia),Leifsonia,NA,CE,7
Kassembie_2.9,Kassembie_2.9 (Leifsonia),Leifsonia,NA,GH,58
Kassembie_2.9,Kassembie_2.9 (Leifsonia),Leifsonia,NA,GT,39
Kassembie_2.9,Kassembie_2.9 (Leifsonia),Leifsonia,NA,PL,1
